imdb_title_id,rank,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0060138,1,Au hasard Balthazar,Au hasard Balthazar,1966,1966-05-25,Drama,95,"France, Sweden","French, Latin",Robert Bresson,Robert Bresson,Argos Films,"Anne Wiazemsky, Walter Green, François Lafarge, Jean-Claude Guilbert, Philippe Asselin, Pierre Klossowski, Nathalie Joyaut, Marie-Claire Frémont, Jean-Joël Barbier, Guy Renault, Jean Rémignard, Guy Brejac, Mylène Weyergans, Jacques Sorbets, François Sullerot",The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.,7.9,15808,,"$45,406","$45,406",100,77,109
tt0047396,2,Rear Window,Rear Window,1954,1955-01-07,"Mystery, Thriller",112,USA,English,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich",Alfred J. Hitchcock Productions,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,8.4,410462,"$1,000,000","$36,764,313","$37,032,034",100,759,145
tt0034583,3,Casablanca,Casablanca,1942,1943-01-23,"Drama, Romance, War",102,USA,"English, French, German, Italian",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein",Warner Bros.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.5,487757,"$950,000","$4,108,411","$4,374,761",100,1232,187
tt0068646,4,The Godfather,The Godfather,1972,1972-08-25,"Crime, Drama",175,USA,"English, Italian, Latin",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",Paramount Pictures,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,1482143,"$6,000,000","$134,966,411","$246,120,974",100,3362,241
tt0057091,5,Il gattopardo,Il gattopardo,1963,1963-03-29,"Drama, History",186,"Italy, France","Italian, Latin, French",Luchino Visconti,"Giuseppe Tomasi di Lampedusa, Suso Cecchi D'Amico",Titanus,"Burt Lancaster, Claudia Cardinale, Alain Delon, Paolo Stoppa, Rina Morelli, Romolo Valli, Terence Hill, Pierre Clémenti, Lucilla Morlacchi, Giuliano Gemma, Evelyn Stewart, Ottavia Piccolo, Carlo Valenzano, Brook Fuller, Anna Maria Bottini","The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860's Sicily.",8,20828,ITL 2900000000,,"$181,692",100,104,112
tt0033467,6,Citizen Kane,Citizen Kane,1941,1942-04-17,"Drama, Mystery",119,USA,"English, Italian",Orson Welles,"Herman J. Mankiewicz, Orson Welles",RKO Radio Pictures,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",8.3,371943,"$839,727","$1,585,634","$1,594,107",100,1371,265
tt0056172,7,Lawrence of Arabia,Lawrence of Arabia,1962,1963-07-26,"Adventure, Biography, Drama",228,UK,"English, Arabic, Turkish",David Lean,"T.E. Lawrence, Robert Bolt",Horizon Pictures (II),"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin",The story of,8.3,249021,"$15,000,000","$45,306,425","$45,710,874",100,624,194
tt0032138,8,The Wizard of Oz,The Wizard of Oz,1939,1940-04-12,"Adventure, Family, Fantasy",102,USA,English,"Victor Fleming, George Cukor","Noel Langley, Florence Ryerson",Metro-Goldwyn-Mayer (MGM),"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,8,357418,"$2,777,000","$24,790,250","$26,120,538",100,641,160
tt1065073,9,Boyhood,Boyhood,2014,2014-07-11,Drama,165,USA,"English, Spanish",Richard Linklater,Richard Linklater,IFC Productions,"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater, Steven Chester Prince, Bonnie Cross, Sydney Orta, Libby Villari, Ethan Hawke, Marco Perella, Jamie Howard, Andrew Villarreal, Shane Graham, Tess Allen, Ryan Power","The life of Mason, from early childhood to his arrival at college.",7.9,320400,"$4,000,000","$25,352,281","$44,495,281",100,949,576
tt0083922,10,Fanny och Alexander,Fanny och Alexander,1982,1982-12-17,Drama,188,"Sweden, France, West Germany","Swedish, German, Yiddish, English, French",Ingmar Bergman,Ingmar Bergman,Cinematograph AB,"Kristina Adolphson, Börje Ahlstedt, Pernilla Allwin, Kristian Almgren, Carl Billquist, Axel Düberg, Allan Edwall, Siv Ericks, Ewa Fröling, Patricia Gélin, Majlis Granlund, Maria Granlund, Bertil Guve, Eva von Hanno, Sonya Hedenbratt","Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",8.1,53169,"$6,000,000","$6,783,304","$6,795,771",100,129,97
tt0046511,11,Viaggio in Italia,Viaggio in Italia,1954,1954-09-08,"Drama, Romance",85,"Italy, France","English, Italian",Roberto Rossellini,"Vitaliano Brancati, Roberto Rossellini",Italia Film,"Ingrid Bergman, George Sanders, Maria Mauban, Anna Proclemer, Paul Muller, Anthony La Penna, Natalia Ray, Jackie Frost",An unhappily married couple attempts to find direction and insight while vacationing in Naples.,7.4,7837,,,,100,36,57
tt0038787,12,Notorious,Notorious,1946,1946-09-06,"Drama, Film-Noir, Romance",102,USA,"English, French, Portuguese",Alfred Hitchcock,Ben Hecht,RKO Radio Pictures,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, Leopoldine Konstantin, Reinhold Schünzel, Moroni Olsen, Ivan Triesault, Alexis Minotis, Wally Brown, Charles Mendl, Ricardo Costa, E.A. Krumschmidt, Fay Baker",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,7.9,86712,"$2,000,000",,"$113,061",100,329,135
tt0052357,13,Vertigo,Vertigo,1958,1958-10-03,"Mystery, Romance, Thriller",128,USA,English,Alfred Hitchcock,"Alec Coppel, Samuel A. Taylor",Alfred J. Hitchcock Productions,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,8.3,330818,"$2,479,000","$7,705,225","$7,779,797",100,788,172
tt0111495,14,Trois couleurs: Rouge,Trois couleurs: Rouge,1994,1994-05-27,"Drama, Mystery, Romance",99,"Switzerland, France, Poland",French,Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz",MK2 Productions,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan, Marion Stalens, Teco Celio, Bernard Escalon, Jean Schlegel, Elzbieta Jasinska, Paul Vermeulen, Jean-Marie Daunas, Roland Carey, Brigitte Raul, Leo Ramseyer",A model discovers a retired judge is keen on invading people's privacy.,8.1,82344,,"$3,581,969","$3,581,969",100,156,104
tt0051036,15,Sweet Smell of Success,Sweet Smell of Success,1957,1957-10-04,"Drama, Film-Noir",96,USA,English,Alexander Mackendrick,"Clifford Odets, Ernest Lehman",Norma Productions,"Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner, Jeff Donnell, Sam Levene, Joe Frisco, Barbara Nichols, Emile Meyer, Edith Atwater, The Chico Hamilton Quintet",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,8.1,25167,"$2,600,000",,"$7,336",100,143,127
tt0065571,16,Il conformista,Il conformista,1970,1971-02-17,Drama,113,"Italy, France, West Germany","Italian, French, Latin, Chinese",Bernardo Bertolucci,"Alberto Moravia, Bernardo Bertolucci",Mars Film,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio, Fosco Giachetti, José Quaglio, Yvonne Sanson, Milly, Antonio Maestri, Alessandro Haber, Luciano Rossi, Massimo Sarchielli, Pierangelo Civera, Giuseppe Addobbati, Christian Aligny","A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",8,24130,"$750,000","$58,657","$400,747",100,110,127
tt0032910,17,Pinocchio,Pinocchio,1940,1940-09-06,"Animation, Comedy, Family",88,USA,English,"Norman Ferguson, T. Hee","Carlo Collodi, Ted Sears",Walt Disney Productions,"Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Patricia Page, Christian Rub, Evelyn Venable","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",7.4,120088,"$2,600,000","$84,254,167","$121,892,045",99,183,131
tt0048424,18,The Night of the Hunter,The Night of the Hunter,1955,1955-11-24,"Crime, Drama, Film-Noir",92,USA,English,Charles Laughton,"James Agee, Davis Grubb",Paul Gregory Productions,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, Evelyn Varden, Peter Graves, Don Beddoe, Billy Chapin, Sally Jane Bruce, Gloria Castillo","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.",8,76733,"$795,000",,"$2,001",99,442,204
tt0045152,19,Singin' in the Rain,Singin' in the Rain,1952,1953-01-16,"Comedy, Musical, Romance",103,USA,English,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",Metro-Goldwyn-Mayer (MGM),"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno",A silent film production company and cast make a difficult transition to sound.,8.3,202701,"$2,540,800","$1,826,108","$1,864,182",99,619,150
tt0021749,20,City Lights,City Lights,1931,1931-08-21,"Comedy, Drama, Romance",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8.5,152716,"$1,500,000","$19,181","$32,609",99,270,120
tt0052311,21,Touch of Evil,Touch of Evil,1958,1958-06-06,"Crime, Drama, Film-Noir",95,USA,"English, Spanish",Orson Welles,"Orson Welles, Whit Masterson",Universal International Pictures (UI),"Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia, Akim Tamiroff, Joanna Moore, Ray Collins, Dennis Weaver, Valentin de Vargas, Mort Mills, Victor Millan, Lalo Rios, Michael Sargent, Phil Harvey, Joi Lansing","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",8,93971,"$829,000","$2,247,465","$2,286,947",99,304,112
tt0064040,22,The Army of Shadows,L'armée des ombres,1969,1969-09-12,"Drama, War",145,"France, Italy","French, German, English",Jean-Pierre Melville,"Joseph Kessel, Jean-Pierre Melville",Les Films Corona,"Lino Ventura, Paul Meurisse, Jean-Pierre Cassel, Simone Signoret, Claude Mann, Paul Crauchet, Christian Barbier, Serge Reggiani, André Dewavrin, Alain Dekok, Alain Mottet, Alain Libolt, Jean-Marie Robain, Albert Michel, Denis Sadier",An account of underground resistance fighters in Nazi-occupied France.,8.2,18500,,"$771,956","$840,722",99,88,135
tt4975722,23,Moonlight,Moonlight,2016,2017-02-24,Drama,111,USA,English,Barry Jenkins,"Barry Jenkins, Tarell Alvin McCraney",A24,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert, Janelle Monáe, Naomie Harris, Jaden Piner, Herman 'Caheei McGloun, Kamal Ani-Bellow, Keomi Givens, Eddie Blanchard, Rudi Goblen, Ashton Sanders, Edson Jean, Patrick Decile","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",7.4,238659,"$4,000,000","$27,854,932","$65,046,687",99,818,504
tt0457430,24,Pan's Labyrinth,El laberinto del fauno,2006,2006-11-24,"Drama, Fantasy, War",118,"Mexico, Spain",Spanish,Guillermo del Toro,Guillermo del Toro,Estudios Picasso,"Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones, Ariadna Gil, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Ivan Massagué, Gonzalo Uriarte, Eusebio Lázaro, Francisco Vidal, Juanjo Cucalón, Lina Mira","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",8.2,583872,"$19,000,000","$37,634,615","$83,258,226",98,1225,446
tt0017136,25,Metropolis,Metropolis,1927,1927-02-06,"Drama, Sci-Fi",153,Germany,German,Fritz Lang,"Thea von Harbou, Thea von Harbou",Universum Film (UFA),"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",8.3,148396,DEM 6000000,"$1,236,166","$1,349,711",98,471,194
tt0040897,26,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,1948,1948-01-24,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",John Huston,"John Huston, B. Traven",Warner Bros.,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,8.2,106099,"$3,000,000","$215,295","$215,295",98,256,94
tt0053125,27,North by Northwest,North by Northwest,1959,1960-02-19,"Adventure, Mystery, Thriller",136,USA,"English, French",Alfred Hitchcock,Ernest Lehman,Metro-Goldwyn-Mayer (MGM),"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll, Josephine Hutchinson, Philip Ober, Martin Landau, Adam Williams, Edward Platt, Robert Ellenstein, Les Tremayne, Philip Coolidge, Patrick McVey, Edward Binns",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,8.3,278744,"$3,101,000",,"$55,597",98,569,164
tt0042192,28,All About Eve,All About Eve,1950,1951-02-02,Drama,138,USA,"English, French",Joseph L. Mankiewicz,Joseph L. Mankiewicz,Twentieth Century Fox,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White",An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,8.2,112198,"$1,400,000","$63,463","$150,438",98,358,128
tt0047478,29,Shichinin no samurai,Shichinin no samurai,1954,1954-04-26,"Action, Adventure, Drama",207,Japan,Japanese,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto",Toho Company,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,8.6,292222,JPY 125000000,"$318,649","$322,773",98,655,121
tt0042876,30,Rashômon,Rashômon,1950,1957-11-01,"Crime, Drama, Mystery",88,Japan,Japanese,Akira Kurosawa,"Ryûnosuke Akutagawa, Akira Kurosawa",Daiei Motion Picture Company,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki, Kichijirô Ueda, Noriko Honma, Daisuke Katô","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",8.2,139567,"$250,000","$46,808","$46,808",98,319,137
tt0029453,31,Pépé le Moko,Pépé le Moko,1937,1937-01-28,"Crime, Drama, Romance",94,France,"French, Arabic",Julien Duvivier,"Henri La Barthe, Henri La Barthe",Paris Film,"Jean Gabin, Gabriel Gabrio, Saturnin Fabre, Fernand Charpin, Lucas Gridoux, Gilbert Gil, Marcel Dalio, Charles Granval, Gaston Modot, René Bergeron, Paul Escoffier, Roger Legris, Jean Témerson, Robert Ozanne, Philippe Richard","A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.",7.7,5811,,"$155,895","$155,895",98,44,54
tt0031381,32,Gone with the Wind,Gone with the Wind,1939,1942-09-04,"Drama, History, Romance",238,USA,English,"Victor Fleming, George Cukor","Margaret Mitchell, Sidney Howard",Selznick International Pictures,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,8.1,269664,"$3,977,000","$200,852,579","$402,352,579",97,808,183
tt0054177,33,Le petit soldat,Le petit soldat,1963,1963-01-25,"War, Drama",88,France,French,Jean-Luc Godard,Jean-Luc Godard,Les Productions Georges de Beauregard,"Michel Subor, Anna Karina, Henri-Jacques Huet, Paul Beauvais, László Szabó","During the Algerian War, a man and woman from opposing sides fall in love with one another.",7.3,5405,"$180,000","$24,296","$24,296",97,25,33
