imdb_title_id,rank,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt1832382,67,Jodaeiye Nader az Simin,Jodaeiye Nader az Simin,2011,2011-03-16,Drama,123,"Iran, France",Persian,Asghar Farhadi,Asghar Farhadi,Asghar Farhadi Productions,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini, Sarina Farhadi, Merila Zare'i, Ali-Asghar Shahbazi, Babak Karimi, Kimia Hosseini, Shirin Yazdanbakhsh, Sohibanoo Zolqadr, Mohammadhasan Asghari, Shirin Azimiyannezhad, Hamid Dadju, Mohammad Ebrahimian",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,8.3,203179,"$500,000","$7,099,055","$19,899,055",95,321,375
tt0029583,68,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,1937,1938-07-08,"Animation, Family, Fantasy",83,USA,English,"William Cottrell, David Hand","Jacob Grimm, Wilhelm Grimm",Walt Disney Productions,"Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",7.6,168735,"$1,499,000","$184,925,486","$184,925,486",95,229,166
tt0065214,69,The Wild Bunch,The Wild Bunch,1969,1971-03-05,"Action, Adventure, Western",135,USA,"English, Spanish, German",Sam Peckinpah,"Walon Green, Sam Peckinpah",Warner Brothers/Seven Arts,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien, Warren Oates, Jaime Sánchez, Ben Johnson, Emilio Fernández, Strother Martin, L.Q. Jones, Albert Dekker, Bo Hopkins, Dub Taylor, Paul Harper, Jorge Russek","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",7.9,73451,"$6,244,087","$638,641","$638,641",95,313,118
tt0101414,70,Beauty and the Beast,Beauty and the Beast,1991,1992-10-16,"Animation, Family, Fantasy",84,USA,"English, French","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman",Walt Disney Pictures,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury, Paige O'Hara, Jerry Orbach, Bradley Pierce, David Ogden Stiers, Richard White, Jo Anne Worley, Mary Kay Bergman, Brian Cummings, Alvin Epstein, Tony Jay, Alec Murphy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8,398182,"$25,000,000","$218,967,620","$440,118,382",95,415,209
tt1285016,71,The Social Network,The Social Network,2010,2010-10-15,"Biography, Drama",120,USA,"English, French",David Fincher,"Aaron Sorkin, Ben Mezrich",Columbia Pictures,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons, Joseph Mazzello, Patrick Mapel, Andrew Garfield, Toby Meuli, Alecia Svensen, Jami Owen, James Dastoli, Robert Dastoli, Scotty Crowe, Jayk Gallagher, Marcella Lentz-Pope",As Harvard student,7.7,579926,"$40,000,000","$96,962,694","$224,920,315",95,792,577
tt0076263,72,Killer of Sheep,Killer of Sheep,1978,1978-11-14,Drama,80,USA,English,Charles Burnett,Charles Burnett,,"Henry G. Sanders, Kaycee Moore, Charles Bracy, Angela Burnett, Eugene Cherry, Jack Drummond, Slim, Delores Farley, Dorothy Stengel, Tobar Mayo, Chris Terrill, Lawrence Pierott, Russell Miles, Homer Jai, Johnny Smoke","Set in the Watts area of Los Angeles, a slaughterhouse worker must suspend his emotions to continue working at a job he finds repugnant, and then he finds he has little sensitivity for the family he works so hard to support.",7.3,5596,"$100,000","$404,508","$468,460",95,36,92
tt0114709,73,Toy Story,Toy Story,1995,1996-03-22,"Animation, Adventure, Comedy",81,USA,English,John Lasseter,"John Lasseter, Pete Docter",Pixar Animation Studios,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette, Jack Angel, Spencer Aste",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,8.3,822929,"$30,000,000","$222,498,679","$406,594,102",95,538,193
tt0085180,74,L'argent,L'argent,1983,1983-05-18,"Crime, Drama",85,"France, Switzerland","French, Latin",Robert Bresson,"Leo Tolstoy, Robert Bresson",Eôs Films,"Christian Patey, Vincent Risterucci, Caroline Lang, Sylvie Van den Elsen, Michel Briguet, Béatrice Tabourin, Didier Baussy, Marc Ernest Fourneau, Bruno Lapeyre, François-Marie Banier, Alain Aptekman, Jeanne Aptekman, Dominique Mullier, Jacques Behr, Gilles Durieux",A forged 500-franc note is passed from person to person until carelessness leads to tragedy.,7.5,7326,,,,95,42,60
tt0058946,75,La battaglia di Algeri,La battaglia di Algeri,1966,1971-03-26,"Drama, War",121,"Italy, Algeria","French, Arabic, English",Gillo Pontecorvo,"Franco Solinas, Franco Solinas",Casbah Film,"Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash, Ugo Paletti, Fusia El Kader, Mohamed Ben Kassen","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",8.1,48371,"$800,000","$879,794","$964,028",95,278,147
tt1790885,76,Zero Dark Thirty,Zero Dark Thirty,2012,2013-01-25,"Drama, Thriller",157,"USA, United Arab Emirates","English, Arabic",Kathryn Bigelow,Mark Boal,Columbia Pictures,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler, Jennifer Ehle, Harold Perrineau, Jeremy Strong, J.J. Kandel, Wahab Sheikh, Alexander Karim, Nabil Elouahabi, Aymen Hamdouchi, Simon Abkarian, Ali Marhyar, Parker Sawyers",A chronicle of the decade-long hunt for al-Qaeda terrorist leader,7.4,255991,"$40,000,000","$95,720,716","$132,820,716",95,684,576
tt0058385,77,My Fair Lady,My Fair Lady,1964,1965-10-15,"Drama, Family, Musical",170,USA,English,George Cukor,"Alan Jay Lerner, George Bernard Shaw",Warner Bros.,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland",Snobbish phonetics Professor Henry Higgins (Sir Rex Harrison) agrees to a wager that he can make flower girl Eliza Doolittle (Audrey Hepburn) presentable in high society.,7.8,81233,"$17,000,000","$72,560,711","$72,661,442",95,296,89
tt6751668,78,Gisaengchung,Gisaengchung,2019,2020-02-07,"Comedy, Drama, Thriller",132,South Korea,"Korean, English",Bong Joon Ho,"Han Jin Won, Bong Joon Ho",Barunson E&A,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi, Hye-jin Jang, So-dam Park, Ji-so Jung, Ji-hye Lee, JaeWook Park, Myeong-hoon Park, Seo-joon Park, Keun-rok Park, Seong-Bong Ahn, Kang Echae, Jeong Esuz","All unemployed, Ki-taek and his family take peculiar interest in the wealthy and glamorous Parks, as they ingratiate themselves into their lives and get entangled in an unexpected incident.",8.6,74076,,"$12,558,363","$109,012,467",95,379,285
tt0910970,79,WALL·E,WALL·E,2008,2008-07-18,"Animation, Adventure, Family",98,USA,English,Andrew Stanton,"Andrew Stanton, Pete Docter",FortyFour Studios,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, MacInTalk, John Ratzenberger, Kathy Najimy, Sigourney Weaver, Teddy Newton, Bob Bergen, John Cygan, Pete Docter, Paul Eiding, Donald Fullilove, Teresa Ganzel","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",8.4,931375,"$180,000,000","$223,808,164","$521,311,860",95,1177,264
tt2402927,80,Carol,Carol,2015,2015-11-27,"Drama, Romance",118,"UK, USA",English,Todd Haynes,"Phyllis Nagy, Patricia Highsmith",The Weinstein Company,"Cate Blanchett, Rooney Mara, Kyle Chandler, Sarah Paulson, Jake Lacy, John Magaro, Cory Michael Smith, Kevin Crowley, Nik Pajic, Carrie Brownstein, Trent Rowland, Sadie Heim, Kk Heim, Amy Warner, Michael Haney",An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,7.2,104125,"$11,800,000","$12,711,491","$40,272,135",95,310,448
tt0375063,81,Sideways,Sideways,2004,2005-01-28,"Comedy, Drama, Romance",127,"USA, Hungary","English, Armenian",Alexander Payne,"Rex Pickett, Alexander Payne",Fox Searchlight Pictures,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh, Marylouise Burke, Jessica Hecht, Missy Doty, M.C. Gainey, Alysia Reiner, Shake Tukhmanyan, Shaun Duke, Robert Covarrubias, Patrick Gallagher, Stephanie Faracy, Joe Marinelli","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",7.5,171880,"$16,000,000","$71,503,593","$109,706,931",94,866,291
tt0110912,82,Pulp Fiction,Pulp Fiction,1994,1994-10-28,"Crime, Drama",154,USA,"English, Spanish, French",Quentin Tarantino,"Quentin Tarantino, Roger Avary",Miramax,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta, Samuel L. Jackson, Phil LaMarr, Frank Whaley, Burr Steers, Bruce Willis, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Uma Thurman","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,1695085,"$8,000,000","$107,928,762","$214,179,088",94,2766,278
tt0067116,83,The French Connection,The French Connection,1971,1971-12-26,"Action, Crime, Drama",104,USA,"English, French",William Friedkin,"Ernest Tidyman, Robin Moore",Philip D'Antoni Productions,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco, Marcel Bozzuffi, Frédéric de Pasquale, Bill Hickman, Ann Rebbot, Harold Gary, Arlene Farber, Eddie Egan, André Ernotte, Sonny Grosso, Benny Marino, Patrick McDermott",A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,7.7,101750,"$1,800,000","$51,700,000","$51,700,000",94,311,159
tt0053604,84,The Apartment,The Apartment,1960,1960-09-16,"Comedy, Drama, Romance",125,USA,English,Billy Wilder,"Billy Wilder, I.A.L. Diamond",The Mirisch Corporation,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, David Lewis, Hope Holiday, Joan Shawlee, Naomi Stevens, Johnny Seven, Joyce Jameson, Willard Waterman, David White, Edie Adams","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",8.3,148964,"$3,000,000",,"$177,066",94,308,229
tt2096673,85,Inside Out,Inside Out,2015,2015-07-24,"Animation, Adventure, Comedy",95,USA,English,"Pete Docter, Ronnie Del Carmen","Pete Docter, Ronnie Del Carmen",Pixar Animation Studios,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone, Bobby Moynihan, Paula Pell, Dave Goelz, Frank Oz, Josh Cooley","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",8.2,556161,"$175,000,000","$356,461,711","$857,611,174",94,972,579
tt3544082,86,45 Years,45 Years,2015,2015-08-28,"Drama, Romance",91,UK,English,Andrew Haigh,"Andrew Haigh, David Constantine",BFI Film Fund,"Charlotte Rampling, Tom Courtenay, Geraldine James, Dolly Wells, David Sibley, Sam Alexander, Richard Cunningham, Hannah Chalmers, Camille Ucan, Rufus Wright",A married couple preparing to celebrate their wedding anniversary receives shattering news that promises to forever change the course of their lives.,7,28587,,"$4,247,285","$14,430,249",94,150,286
tt5013056,87,Dunkirk,Dunkirk,2017,2017-07-21,"Action, Drama, History",106,"UK, Netherlands, France, USA","English, French, German",Christopher Nolan,Christopher Nolan,Syncopy,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong, James Bloor, Barry Keoghan, Mark Rylance, Tom Glynn-Carney, Tom Hardy, Jack Lowden, Luke Thompson, Michel Biel, Constantin Balsan, Billy Howle, Mikey Collins","Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",7.9,487517,"$100,000,000","$189,740,665","$526,940,665",94,2222,608
tt2209418,88,Before Midnight,Before Midnight,2013,2013-06-21,"Drama, Romance",109,"USA, Greece","English, Greek, French",Richard Linklater,"Richard Linklater, Julie Delpy",Faliro House Productions,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Jennifer Prior, Charlotte Prior, Xenia Kalogeropoulou, Walter Lassally, Ariane Labed, Yiannis Papadopoulos, Athina Rachel Tsangari, Panos Koronis, Enrico Focardi, Manolis Goussias, Anouk Servera, Yota Argyropoulou",We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,7.9,126911,"$3,000,000","$8,114,627","$11,176,469",94,293,431
tt0064285,89,L'enfant sauvage,L'enfant sauvage,1970,1970-02-26,Drama,83,France,"French, French Sign Language",François Truffaut,"François Truffaut, Jean Gruault",Les Artistes Associés,"Jean-Pierre Cargol, François Truffaut, Françoise Seigner, Jean Dasté, Annie Miller, Claude Miller, Paul Villé, Nathan Miller, Mathieu Schiffman, Jean Gruault, Robert Cambourakis, Gitt Magrini, Jean-François Stévenin, Laura Truffaut, Eva Truffaut","In a French forest in 1798, a child is found who cannot walk, speak, read or write. A doctor becomes interested in the child and patiently attempts to civilize him.",7.5,6980,,"$65,560","$65,560",94,44,48
tt4925292,90,Lady Bird,Lady Bird,2017,2018-02-23,"Comedy, Drama",94,USA,"English, Spanish",Greta Gerwig,Greta Gerwig,IAC Films,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen McKinley Henderson, Odeya Rush, Jordan Rodrigues, Marielle Scott, John Karna, Jake McDorman, Bayne Gibby, Laura Marano","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",7.4,189351,"$10,000,000","$48,958,273","$78,965,611",94,624,449
tt0167260,91,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,2003-12-17,"Adventure, Drama, Fantasy",201,"New Zealand, USA","English, Quenya, Old English, Sindarin",Peter Jackson,"J.R.R. Tolkien, Fran Walsh",New Line Cinema,"Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,8.9,1533574,"$94,000,000","$377,845,905","$1,120,424,614",94,3528,346
tt1302006,92,The Irishman,The Irishman,2019,2019-11-27,"Biography, Crime, Drama",209,USA,"English, Italian, Latin",Martin Scorsese,"Charles Brandt, Steven Zaillian",Fábrica de Cine,"Robert De Niro, Al Pacino, Jesse Plemons, Anna Paquin, Joe Pesci, Stephen Graham, Bobby Cannavale, Harvey Keitel, Jack Huston, Kathrine Narducci, Domenick Lombardozzi, Dascha Polanco, Aleksa Palladino, Ray Romano, Steven Van Zandt",A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.,8.7,8846,"$159,000,000",,,94,99,156
tt0036342,93,Shadow of a Doubt,Shadow of a Doubt,1943,1943-01-15,Thriller,108,USA,English,Alfred Hitchcock,"Thornton Wilder, Sally Benson",Universal Pictures,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers, Patricia Collinge, Hume Cronyn, Wallace Ford, Edna May Wonacott, Charles Bates, Irving Bacon, Clarence Muse, Janet Shaw, Estelle Jewell",A young woman discovers her visiting uncle may not be the man he seems to be.,7.9,55110,,,,94,251,91
tt0049730,94,The Searchers,The Searchers,1956,1957-01-18,"Adventure, Drama, Western",119,USA,"English, Navajo, Spanish",John Ford,"Frank S. Nugent, Alan Le May",C.V. Whitney Pictures,"John Wayne, Jeffrey Hunter, Vera Miles, Ward Bond, Natalie Wood, John Qualen, Olive Carey, Henry Brandon, Ken Curtis, Harry Carey Jr., Antonio Moreno, Hank Worden, Beulah Archuletta, Walter Coy, Dorothy Jordan",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,7.9,74695,"$3,750,000",,,94,469,117
tt1602620,95,Amour,Amour,2012,2012-11-16,"Drama, Romance",127,"Austria, France, Germany","French, English",Michael Haneke,Michael Haneke,Les Films du Losange,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, William Shimell, Ramón Agirre, Rita Blanco, Carole Franck, Dinara Drukarova, Laurent Capelluto, Jean-Michel Monroc, Suzanne Schmidt, Damien Jouillerot, Walid Afkir","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",7.9,86628,"$8,900,000","$6,739,492","$19,851,452",94,210,461
tt2473794,96,Mr. Turner,Mr. Turner,2014,2014-10-31,"Biography, Drama, History",150,"UK, France, Germany",English,Mike Leigh,Mike Leigh,Amusement Park Films,"Timothy Spall, Paul Jesson, Dorothy Atkinson, Marion Bailey, Karl Johnson, Ruth Sheen, Sandy Foster, Amy Dawson, Lesley Manville, Martin Savage, Richard Bremmer, Niall Buggy, Fred Pearson, Tom Edden, Jamie Thomas King","An exploration of the last quarter century of the great, if eccentric, British painter J.M.W. Turner's life.",6.8,23092,GBP 8200000,"$3,958,500","$22,179,785",94,184,269
tt0108052,97,Schindler's List,Schindler's List,1993,1994-03-04,"Biography, Drama, History",195,USA,"English, Hebrew, German, Polish",Steven Spielberg,"Thomas Keneally, Steven Zaillian",Universal Pictures,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola, Andrzej Seweryn, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Norbert Weisser","In German-occupied Poland during World War II, industrialist",8.9,1120236,"$22,000,000","$96,898,818","$322,243,445",94,1642,221
tt0042531,98,The Gunfighter,The Gunfighter,1950,1950-08-21,Western,85,USA,English,Henry King,"William Bowers, William Sellers",Twentieth Century Fox,"Gregory Peck, Helen Westcott, Millard Mitchell, Jean Parker, Karl Malden, Skip Homeier, Anthony Ross, Verna Felton, Ellen Corby, Richard Jaeckel","Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.",7.7,8560,,,,94,82,45
tt0078788,99,Apocalypse Now,Apocalypse Now,1979,1979-12-21,"Drama, Mystery, War",147,USA,"English, French, Vietnamese","Francis Ford Coppola, Francis Ford Coppola","John Milius, Francis Ford Coppola",Zoetrope,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Sam Bottoms, Laurence Fishburne, Albert Hall, Harrison Ford, Dennis Hopper, G.D. Spradlin, Jerry Ziesmer, Scott Glenn, Bo Byers, James Keane, Kerry Rossall",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,8.4,563282,"$31,500,000","$83,471,511","$91,880,647",94,1115,312
tt0056217,100,The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance,1962,1962-06-08,"Drama, Western",123,USA,English,John Ford,"James Warner Bellah, Willis Goldbeck",John Ford Productions,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine, Ken Murray, John Carradine, Jeanette Nolan, John Qualen, Willis Bouchey, Carleton Young, Woody Strode, Denver Pyle, Strother Martin","A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",8.1,63950,"$3,200,000",,,94,242,78